,text,airline_sentiment
342,@virginamerica i was so glad it was mentioned. i took my first virgin flight a few years back and it was a transformative experience.,1
343,@virginamerica flight booking problems flight to uphold my status match.  do taxes on ticket count as earned status points?  statusmatch virginamerica,0
344,@virginamerica trying to checkin...but looks like your site is down?,-1
345,@virginamerica spending my birthday night with you daldca. get me home!,-1
346,@virginamerica sent a couple messages to the email you provided but to no avail. will try again next year. cheers.,-1
347,@virginamerica first time flying virgin went to sanfrancisco .thanks for the smooth ride. easily my new fav airline!,1
348,@virginamerica seriously though. will there not be direct flights from sfofll in may???,-1
349,@virginamerica it is fine. already done with my purchase. but you should try it. just go most of the way through then go back 3,-1
350,@virginamerica not really the experience i was hoping 4 i ws forced 2 check in a small carry on w nothing but empty cabin space on board,-1
351,@virginamericawjere is our luggage so slow at lax,-1
352,@virginamerica to jump into the dallas austin market ,0
353,@virginamerica i spoke with a representative that offered no solution i am a loyal customer who flies on @virginatlantic as well,-1
354,@virginamerica i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,-1
355,@virginamerica what happened to direct flights from sfofll? looking in may only see connecting help dontdothistome,-1
356,@virginamerica.. can you help? left my blazer in. kooples jacket bag at 3rd row second seat from right gate 36 t3 lax.. flight to sfo,0
357,@virginamerica partners with @visa checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa,0
358,@virginamerica just promoting the product is all had a problem with southwest and recommend noneother than the best! ,1
359,@virginamerica love you guys but pls get some direct routes las to aus!,1
360,@virginamerica i would like help with some flights please.,0
361,bruh @virginamerica: @giannilee turn down for what. vxsafetydance,0
362,@virginamerica of course! i work for @virginatlantic and I am obsessed with the entire virgin family!!,1
363,@virginamerica ok! first time flying with you tonight :),1
364,@virginamerica digging the swanky pink mood lighting during the flight from nyc to sfo.  just needs a cabaret singer.  think about it!,0
